strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Male,age_category,40.2,40,40.4,Grouped,40-64,"40.2 (40, 40.4)",602665,sex,Rural
Male,age_category,13.9,13.8,14.1,Grouped,65 plus,"13.9 (13.8, 14.1)",602665,sex,Rural
Female,age_category,46.1,45.7,46.5,Grouped,18-39,"46.1 (45.7, 46.5)",218587,sex,Urban
Female,age_category,43.6,43.3,43.9,Grouped,40-64,"43.6 (43.3, 43.9)",218587,sex,Urban
Female,age_category,10.3,10.1,10.6,Grouped,65 plus,"10.3 (10.1, 10.6)",218587,sex,Urban
Male,age_category,37.5,37.2,37.8,Grouped,18-39,"37.5 (37.2, 37.8)",198903,sex,Urban
Male,age_category,45.5,45.2,45.8,Grouped,40-64,"45.5 (45.2, 45.8)",198903,sex,Urban
Male,age_category,17,16.7,17.3,Grouped,65 plus,"17 (16.7, 17.3)",198903,sex,Urban
Female,age_category10,29.9,29.7,30.1,Grouped,"[18,30)","29.9 (29.7, 30.1)",670881,sex,Rural
Female,age_category10,30.5,30.3,30.7,Grouped,"[30,40)","30.5 (30.3, 30.7)",670881,sex,Rural
Female,age_category10,16,15.9,16.1,Grouped,"[40,50)","16 (15.9, 16.1)",670881,sex,Rural
Female,age_category10,11.7,11.6,11.8,Grouped,"[50,60)","11.7 (11.6, 11.8)",670881,sex,Rural
Female,age_category10,8.2,8.1,8.2,Grouped,"[60,70)","8.2 (8.1, 8.2)",670881,sex,Rural
Female,age_category10,2.7,2.7,2.7,Grouped,"[70,80)","2.7 (2.7, 2.7)",670881,sex,Rural
Female,age_category10,1,1,1.1,Grouped,"[80,100]","1 (1, 1.1)",670881,sex,Rural
Male,age_category10,24.7,24.5,24.9,Grouped,"[18,30)","24.7 (24.5, 24.9)",602665,sex,Rural
Male,age_category10,21.2,21,21.3,Grouped,"[30,40)","21.2 (21, 21.3)",602665,sex,Rural
Male,age_category10,19.5,19.3,19.7,Grouped,"[40,50)","19.5 (19.3, 19.7)",602665,sex,Rural
Male,age_category10,14,13.9,14.1,Grouped,"[50,60)","14 (13.9, 14.1)",602665,sex,Rural
Male,age_category10,13,12.8,13.1,Grouped,"[60,70)","13 (12.8, 13.1)",602665,sex,Rural
Male,age_category10,5.9,5.8,6,Grouped,"[70,80)","5.9 (5.8, 6)",602665,sex,Rural
Male,age_category10,1.7,1.7,1.8,Grouped,"[80,100]","1.7 (1.7, 1.8)",602665,sex,Rural
Female,age_category10,23.1,22.8,23.4,Grouped,"[18,30)","23.1 (22.8, 23.4)",218587,sex,Urban
Female,age_category10,23,22.6,23.3,Grouped,"[30,40)","23 (22.6, 23.3)",218587,sex,Urban
Female,age_category10,22.3,22,22.6,Grouped,"[40,50)","22.3 (22, 22.6)",218587,sex,Urban
Female,age_category10,15.4,15.2,15.7,Grouped,"[50,60)","15.4 (15.2, 15.7)",218587,sex,Urban
Female,age_category10,10.8,10.6,11.1,Grouped,"[60,70)","10.8 (10.6, 11.1)",218587,sex,Urban
Female,age_category10,4,3.9,4.2,Grouped,"[70,80)","4 (3.9, 4.2)",218587,sex,Urban
Female,age_category10,1.3,1.2,1.4,Grouped,"[80,100]","1.3 (1.2, 1.4)",218587,sex,Urban
